"<img src=""a4.png""><br>Name this note",A4
"<img src=""b4.png""><br>Name this note",B4
"<img src=""c4.png""><br>Name this note",C4 (Middle C)
"<img src=""c5.png""><br>Name this note",C5
"<img src=""d4.png""><br>Name this note",D4
"<img src=""d5.png""><br>Name this note",D5
"<img src=""e4.png""><br>Name this note",E4
"<img src=""e5.png""><br>Name this note",E5
"<img src=""f4.png""><br>Name this note",F4
"<img src=""f5.png""><br>Name this note",F5
"<img src=""g4.png""><br>Name this note",G4
